date,deaths
2021-03-12,73348
2021-03-11,73120
2021-03-10,72858
2021-03-09,72534
2021-03-08,72236
2021-03-07,71984
2021-03-06,71951
2021-03-05,71852
2021-03-04,71554
2021-03-03,71285
2021-03-02,70926
2021-03-01,70514
2021-02-28,70152
2021-02-27,70092
2021-02-26,69939
2021-02-25,69343
2021-02-24,69170
2021-02-23,68785
2021-02-22,68363
2021-02-21,67946
2021-02-20,67883
2021-02-19,67741
2021-02-18,67245
2021-02-17,66732
2021-02-16,65829
2021-02-15,65288
2021-02-14,65107
2021-02-13,64990
2021-02-12,64771
2021-02-11,64224
